Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,      4.78,      5.09,      4.83,      5.58,      5.79,      6.61,      7.68,      7.32,      6.97,      6.98,      7.05,      9.09,      9.25,      7.97,      8.75,      7.96,      6.89,,,     14.55,     16.59,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,      4.51,,      5.06,      6.03,,,,,,      4.97,     13.09,     12.90,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.89,      4.35,      5.00,      4.92,      4.60,      4.54,      4.59,      4.53,      5.09,      4.88,      4.71,      6.01,      6.23,      7.28,      7.76,      7.77,      7.97,      8.08,      8.50,      7.67,      9.23,      8.84,      9.04,     10.74,     11.68,     14.41,     13.78,     15.28,      6.08,      6.33,,
,India,All Products,Export,Partner share(%)-Top 5 Export Partner,      7.66,      8.19,      8.11,      7.04,      7.87,      7.90,      6.77,      6.99,      6.12,      6.06,      5.32,      4.99,,,,,,      4.38,      4.01,      5.82,      6.48,,,,,,,,,,,
,India,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.74,      5.78,      5.72,      5.93,      5.92,      5.71,      6.21,      5.16,      4.45,,,,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,      5.95,      5.63,      5.28,,,,,,,,      5.33,      3.93,      4.56,      5.07,     10.62,     10.57,,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,      6.35,,,      6.34,      8.61,      9.38,     11.33,     10.20,      7.24,      6.90,,
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,      4.70,      4.60,      3.94,,      4.93,      5.62,      5.24,,,      3.78,,      4.85,,,      5.50,      5.43,      4.44,      4.30,,,,      4.94,      5.72,      5.19,,,,,,,,
,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.12,      7.56,      6.96,      7.08,      5.92,      5.17,      5.48,      5.70,      4.53,      4.62,      4.92,,      4.55,,,,,,,,,,,,,,,,,,,
,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.83,      7.03,      7.44,      7.65,      7.77,      8.07,      8.62,      9.27,      9.14,      8.07,     10.23,      7.69,      7.21,      7.57,      9.30,     11.28,     11.26,     12.22,     10.28,     10.95,,,,,,,,,     23.44,     16.74,,
,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,      4.75,,,,,,,,      4.59,,,,,,,,,,      5.20,,,,,,,,
,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,      7.55,,     13.09,     29.98,     23.12,     30.86,,,,
,Special Categories,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,      6.29,     10.25,,,,      7.52,     11.12,,,,
,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,      4.51,,,,,,,,,,,,,,,,,,,,,,      5.57,      8.37,,,,,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,      4.94,      4.62,,,      4.91,      5.02,      6.35,     11.04,     11.33,      9.43,      9.61,     10.38,      8.23,      7.96,      7.42,      5.67,      9.15,      8.25,      7.08,      6.85,      7.72,      8.15,      9.74,,
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,      6.20,      6.83,      7.10,      6.98,      8.08,      8.59,      8.35,      9.71,      9.42,     10.74,      9.89,     10.17,     13.69,     13.85,,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.16,      4.87,      6.21,      6.11,      4.79,,      6.43,     10.13,     14.13,     16.31,     14.59,     21.18,     21.52,     21.81,     10.78,     10.24,     17.95,     15.68,     18.94,     20.83,     18.26,     18.05,     17.43,     17.82,      7.72,      9.80,     12.91,      7.27,     14.61,     14.25,,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.47,      5.58,      5.64,      5.97,      6.02,      5.78,      5.18,      6.48,      8.00,      7.60,      5.63,      5.48,      7.02,      6.76,      5.72,      5.76,      8.03,      7.73,      8.48,      7.69,      9.74,      9.44,      9.48,     10.68,      9.04,      9.87,     11.70,     13.03,,,,
,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,      4.77,,,,,,,,,,,,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
